actor,atk_margin,atk_overflow,atk_roll,atk_skill_before,atk_skill_gain,atk_xp,combat,def_margin,def_overflow,def_roll,def_skill_before,def_skill_gain,def_xp,defender,effect,effect_mag_after_ad,effect_tier,exchange,hp_after_actor,hp_after_defender,hp_damage,location_index,outcome,skill,tag_check,zone
Beta,,0,79,26,2,53,41,,0,33,30,0,3,Alpha,Disarm,,,29,598,562,,,repeat,Disarm,,
Beta,,0,72,25,1,47,41,,0,82,30,1,52,Alpha,Equipment Damage,,,30,598,562,,,repeat,Equipment Damage,,
Alpha,,0,37,28,0,9,41,,0,55,31,0,24,Beta,Inflict Injury,,,31,562,598,,,repeat,Attack,,
Alpha,16,0,12,28,0,0,41,,26,82,31,1,51,Beta,Grappled,1,2,32,562,572,,21,attacker-wins,Grapple,pass,Legs
Alpha,,0,70,27,1,43,41,14,0,18,32,0,0,Beta,Prone,,,33,562,572,,,defender-wins,Trip,,
Alpha,,0,30,27,0,3,41,,14,96,32,1,64,Beta,Disarm,,,34,562,558,,,repeat,Disarm,,
Alpha,8,0,21,29,0,0,41,,14,64,33,0,31,Beta,Equipment Damage,,2,35,562,536,8,12,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Beta,6,0,19,25,0,0,41,,0,56,31,0,25,Alpha,Inflict Injury,,,36,536,556,6,,attacker-wins,Attack,,
Beta,,0,42,28,0,14,41,,0,57,31,0,26,Alpha,Grappled,,,37,536,556,,,repeat,Grapple,,
Beta,,0,77,28,1,49,41,,0,42,31,0,11,Alpha,Prone,,,38,536,556,,,repeat,Trip,,
Beta,22,0,6,28,0,0,41,6,0,25,31,0,0,Alpha,Disarm,1,2,39,536,556,,60,attacker-wins,Disarm,pass,Arms
Beta,6,0,20,26,0,0,41,,0,32,31,0,1,Alpha,Equipment Damage,,2,40,536,550,6,2,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,,0,92,28,2,64,41,,0,47,33,0,14,Beta,Inflict Injury,,,41,550,536,,,repeat,Attack,,
Alpha,,0,66,28,1,38,41,,0,35,33,0,2,Beta,Grappled,,,42,550,536,,,repeat,Grapple,,
Alpha,27,0,1,28,0,0,41,,0,38,33,0,5,Beta,Prone,1,2,43,550,536,,10,attacker-wins,Trip,pass,Legs
Alpha,,0,73,27,1,46,41,24,0,9,33,0,0,Beta,Disarm,,,44,550,536,,,defender-wins,Disarm,,
Alpha,,0,36,29,0,7,41,,0,64,33,0,31,Beta,Equipment Damage,,,45,550,536,,,repeat,Equipment Damage,,
Beta,2,0,23,25,0,0,41,27,0,4,31,0,0,Alpha,Inflict Injury,,,46,536,550,,,defender-wins,Attack,,
Beta,,0,38,28,0,10,41,,0,89,31,1,58,Alpha,Grappled,,,47,536,550,,,repeat,Grapple,,
Beta,,0,99,29,2,70,41,28,0,4,32,0,0,Alpha,Prone,,,48,536,550,,,defender-wins,Trip,,
Beta,,0,99,28,2,71,41,,0,80,32,1,48,Alpha,Disarm,,,49,536,550,,,repeat,Disarm,,
Beta,19,0,7,26,0,0,41,30,0,3,33,0,0,Alpha,Equipment Damage,,,50,536,550,,,defender-wins,Equipment Damage,,
Alpha,19,0,11,30,0,0,41,,0,42,33,0,9,Beta,Inflict Injury,,,51,550,517,19,,attacker-wins,Attack,,
Alpha,,0,51,29,0,22,41,,0,45,33,0,12,Beta,Grappled,,,52,550,517,,,repeat,Grapple,,
Alpha,,0,53,28,0,25,41,24,0,9,33,0,0,Beta,Prone,,,53,550,517,,,defender-wins,Trip,,
Alpha,19,0,9,28,0,0,41,,0,74,33,1,41,Beta,Disarm,,2,54,550,498,19,90,attacker-wins,Disarm,fail-and-fall-back,Head
Alpha,,0,95,29,2,66,41,9,0,25,34,0,0,Beta,Equipment Damage,,,55,550,498,,,defender-wins,Equipment Damage,,
Beta,,0,28,25,0,3,41,26,0,7,33,0,0,Alpha,Inflict Injury,,,56,498,550,,,defender-wins,Attack,,
Beta,,0,82,28,1,54,41,,0,61,33,0,28,Alpha,Grappled,,,57,498,550,,,repeat,Grapple,,
Beta,,0,59,31,0,28,41,8,0,25,33,0,0,Alpha,Prone,,,58,498,550,,,defender-wins,Trip,,
Beta,,0,48,30,0,18,41,32,0,1,33,0,0,Alpha,Disarm,,,59,498,550,,,defender-wins,Disarm,,
Beta,24,0,2,26,0,0,41,,0,69,33,1,36,Alpha,Equipment Damage,,2,60,498,526,24,20,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,,0,83,30,1,53,41,,0,64,34,0,30,Beta,Inflict Injury,,,61,526,498,,,repeat,Attack,,
Alpha,11,0,18,29,0,0,41,12,0,22,34,0,0,Beta,Grappled,,,62,526,498,,,defender-wins,Grapple,,
Alpha,,0,66,28,1,38,41,18,0,16,34,0,0,Beta,Prone,,,63,526,498,,,defender-wins,Trip,,
Alpha,21,0,7,28,0,0,41,,0,78,34,1,44,Beta,Disarm,1,2,64,526,498,,70,attacker-wins,Disarm,pass,Arms
Alpha,,0,83,31,1,52,41,13,0,22,35,0,0,Beta,Equipment Damage,,,65,526,498,,,defender-wins,Equipment Damage,,
Beta,,0,30,25,0,5,41,13,0,21,34,0,0,Alpha,Inflict Injury,,,66,498,526,,,defender-wins,Attack,,
Beta,15,0,14,29,0,0,41,1,0,33,34,0,0,Alpha,Grappled,1,2,67,498,526,,41,attacker-wins,Grapple,pass,Torso
Beta,,0,93,31,1,62,41,14,0,20,34,0,0,Alpha,Prone,,,68,498,526,,,defender-wins,Trip,,
Beta,,0,83,30,1,53,41,,0,85,34,1,51,Alpha,Disarm,,,69,498,526,,,repeat,Disarm,,
Beta,1,0,25,26,0,0,41,0,0,35,35,0,0,Alpha,Equipment Damage,,2,70,498,525,1,52,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Alpha,11,0,20,31,0,0,41,27,0,8,35,0,0,Beta,Inflict Injury,,,71,525,498,,,defender-wins,Attack,,
Alpha,,0,92,29,2,63,41,30,0,5,35,0,0,Beta,Grappled,,,72,525,498,,,defender-wins,Grapple,,
Alpha,,0,91,29,2,62,41,,0,46,35,0,11,Beta,Prone,,,73,525,498,,,repeat,Trip,,
Alpha,20,0,8,28,0,0,41,,0,72,35,1,37,Beta,Disarm,,2,74,525,478,20,80,attacker-wins,Disarm,fail-and-fall-back,Head
Alpha,13,0,19,32,0,0,41,,0,92,36,1,56,Beta,Equipment Damage,,2,75,525,465,13,91,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Beta,,0,42,25,0,17,41,,0,75,35,1,40,Alpha,Inflict Injury,,,76,465,525,,,repeat,Attack,,
Beta,,0,38,29,0,9,41,4,0,32,36,0,0,Alpha,Grappled,,,77,465,525,,,defender-wins,Grapple,,
Beta,,0,100,32,2,68,41,,0,45,36,0,9,Alpha,Prone,,,78,465,525,,,repeat,Trip,,
Beta,27,0,4,31,0,0,41,,0,57,36,0,21,Alpha,Disarm,,2,79,465,498,27,40,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,,0,47,26,0,21,41,,0,73,36,1,37,Alpha,Equipment Damage,,,80,465,498,,,repeat,Equipment Damage,,
Alpha,,0,69,31,1,38,41,,0,45,37,0,8,Beta,Inflict Injury,,,81,498,465,,,repeat,Attack,,
Alpha,16,0,15,31,0,0,41,,0,47,37,0,10,Beta,Grappled,1,2,82,498,465,,51,attacker-wins,Grapple,pass,Arms
Alpha,,0,48,31,0,17,41,,0,49,37,0,12,Beta,Prone,,,83,498,465,,,repeat,Trip,,
Alpha,,0,43,28,0,15,41,34,0,3,37,0,0,Beta,Disarm,,,84,498,465,,,defender-wins,Disarm,,
Alpha,,0,46,32,0,14,41,,0,40,37,0,3,Beta,Equipment Damage,,,85,498,465,,,repeat,Equipment Damage,,
Beta,,0,45,25,0,20,41,,0,56,37,0,19,Alpha,Inflict Injury,,,86,465,498,,,repeat,Attack,,
Beta,,0,88,29,2,59,41,8,0,29,37,0,0,Alpha,Grappled,,,87,465,498,,,defender-wins,Grapple,,
Beta,,0,92,34,1,58,41,,0,44,37,0,7,Alpha,Prone,,,88,465,498,,,repeat,Trip,,
Beta,,17,87,31,1,56,41,24,0,13,37,0,0,Alpha,Disarm,,,89,448,498,,,defender-wins,Disarm,,
Beta,14,0,12,26,0,0,41,,0,63,37,0,26,Alpha,Equipment Damage,,2,90,448,484,14,21,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,,0,48,32,0,16,41,,6,94,37,1,57,Beta,Inflict Injury,,,91,484,442,,,repeat,Attack,,
Alpha,,0,73,31,1,42,41,,4,54,38,0,16,Beta,Grappled,,,92,484,438,,,repeat,Grapple,,
Alpha,,0,74,31,1,43,41,,0,39,38,0,1,Beta,Prone,,,93,484,438,,,repeat,Trip,,
Alpha,,0,39,28,0,11,41,22,0,16,38,0,0,Beta,Disarm,,,94,484,438,,,defender-wins,Disarm,,
Alpha,,0,72,32,1,40,41,9,0,29,38,0,0,Beta,Equipment Damage,,,95,484,438,,,defender-wins,Equipment Damage,,
Beta,,0,48,25,0,23,41,,2,83,37,1,46,Alpha,Inflict Injury,,,96,438,482,,,repeat,Attack,,
Beta,0,0,31,31,0,0,41,,0,47,38,0,9,Alpha,Grappled,1,2,97,438,482,,13,attacker-wins,Grapple,pass,Legs
Beta,,0,91,35,1,56,41,,33,86,38,1,48,Alpha,Prone,,,98,438,449,,,repeat,Trip,,
Beta,,0,67,32,1,35,41,38,0,1,39,0,0,Alpha,Disarm,,,99,438,449,,,defender-wins,Disarm,,
Beta,,6,85,26,2,59,41,,0,77,39,0,38,Alpha,Equipment Damage,,,100,432,449,,,repeat,Equipment Damage,,
Alpha,,0,34,32,0,2,41,2,0,36,38,0,0,Beta,Inflict Injury,,,101,449,432,,,defender-wins,Attack,,
Alpha,,11,99,32,2,67,41,13,0,25,38,0,0,Beta,Grappled,,,102,438,432,,,defender-wins,Grapple,,
Alpha,22,0,10,32,0,0,41,5,0,33,38,0,0,Beta,Prone,1,2,103,438,432,,1,attacker-wins,Trip,pass,Legs
Alpha,,0,90,28,2,62,41,,0,56,38,0,18,Beta,Disarm,,,104,438,432,,,repeat,Disarm,,
Alpha,7,0,26,33,0,0,41,,0,42,38,0,4,Beta,Equipment Damage,,2,105,438,425,7,62,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Beta,22,0,3,25,0,0,41,27,0,12,39,0,0,Alpha,Inflict Injury,,,106,425,438,,,defender-wins,Attack,,
Beta,,0,89,31,1,58,41,,0,76,39,0,37,Alpha,Grappled,,,107,425,438,,,repeat,Grapple,,
Beta,34,0,2,36,0,0,41,16,0,23,39,0,0,Alpha,Prone,1,2,108,425,438,,20,attacker-wins,Trip,pass,Legs
Beta,,0,40,33,0,7,41,,0,84,39,1,45,Alpha,Disarm,,,109,425,438,,,repeat,Disarm,,
Beta,,0,95,28,2,67,41,,0,48,40,0,8,Alpha,Equipment Damage,,,110,425,438,,,repeat,Equipment Damage,,
Alpha,,0,44,32,0,12,41,,0,89,38,1,51,Beta,Inflict Injury,,,111,438,425,,,repeat,Attack,,
Alpha,25,0,9,34,0,0,41,,8,74,39,0,35,Beta,Grappled,1,2,112,438,417,,90,attacker-wins,Grapple,pass,Head
Alpha,,0,86,32,1,54,41,,13,63,39,0,24,Beta,Prone,,,113,438,404,,,repeat,Trip,,
Alpha,,0,53,30,0,23,41,,36,86,39,1,47,Beta,Disarm,,,114,438,368,,,repeat,Disarm,,
Alpha,5,0,28,33,0,0,41,38,0,2,40,0,0,Beta,Equipment Damage,,,115,438,368,,,defender-wins,Equipment Damage,,
Beta,8,0,17,25,0,0,41,,0,59,40,0,19,Alpha,Inflict Injury,,,116,368,430,8,,attacker-wins,Attack,,
Beta,,0,74,32,1,42,41,,0,85,40,1,45,Alpha,Grappled,,,117,368,430,,,repeat,Grapple,,
Beta,,0,51,36,0,15,41,,0,55,41,0,14,Alpha,Prone,,,118,368,430,,,repeat,Trip,,
Beta,,0,54,33,0,21,41,19,0,22,41,0,0,Alpha,Disarm,,,119,368,430,,,defender-wins,Disarm,,
Beta,,0,67,30,1,37,41,,0,71,41,0,30,Alpha,Equipment Damage,,,120,368,430,,,repeat,Equipment Damage,,
Alpha,,0,63,32,0,31,41,38,0,2,40,0,0,Beta,Inflict Injury,,,121,430,368,,,defender-wins,Attack,,
Alpha,9,0,25,34,0,0,41,,0,57,40,0,17,Beta,Grappled,1,2,122,430,368,,52,attacker-wins,Grapple,pass,Arms
Alpha,,0,45,33,0,12,41,,0,74,40,0,34,Beta,Prone,,,123,430,368,,,repeat,Trip,,
Alpha,25,0,5,30,0,0,41,,0,78,40,0,38,Beta,Disarm,,2,124,430,343,25,50,attacker-wins,Disarm,fail-and-fall-back,Torso
Alpha,,0,44,33,0,11,41,,12,86,40,1,46,Beta,Equipment Damage,,,125,430,331,,,repeat,Equipment Damage,,
Beta,,21,71,25,1,46,41,,0,45,41,0,4,Alpha,Inflict Injury,,,126,310,430,,,repeat,Attack,,
Beta,2,0,31,33,0,0,41,,0,49,41,0,8,Alpha,Grappled,1,2,127,310,430,,13,attacker-wins,Grapple,pass,Legs
Beta,,0,42,36,0,6,41,29,0,12,41,0,0,Alpha,Prone,,,128,310,430,,,defender-wins,Trip,,
Beta,,11,88,33,1,55,41,9,0,32,41,0,0,Alpha,Disarm,,,129,299,430,,,defender-wins,Disarm,,
Beta,2,0,29,31,0,0,41,,0,77,41,0,36,Alpha,Equipment Damage,,2,130,299,428,2,92,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Alpha,,0,100,32,2,68,41,33,0,8,41,0,0,Beta,Inflict Injury,,,131,428,299,,,defender-wins,Attack,,
Alpha,,19,92,34,1,58,41,,0,70,41,0,29,Beta,Grappled,,,132,409,299,,,repeat,Grapple,,
Alpha,10,0,23,33,0,0,41,19,0,22,41,0,0,Beta,Prone,,,133,409,299,,,defender-wins,Trip,,
Alpha,22,0,8,30,0,0,41,,0,76,41,0,35,Beta,Disarm,,2,134,409,277,22,80,attacker-wins,Disarm,fail-and-fall-back,Head
Alpha,16,0,17,33,0,0,41,,0,63,41,0,22,Beta,Equipment Damage,,2,135,409,261,16,71,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Beta,,0,50,26,0,24,41,4,0,37,41,0,0,Alpha,Inflict Injury,,,136,261,409,,,defender-wins,Attack,,
Beta,11,0,22,33,0,0,41,36,0,5,41,0,0,Alpha,Grappled,,,137,261,409,,,defender-wins,Grapple,,
Beta,,0,59,36,0,23,41,,0,93,41,1,52,Alpha,Prone,,,138,261,409,,,repeat,Trip,,
Beta,3,0,31,34,0,0,41,,0,47,42,0,5,Alpha,Disarm,,2,139,261,406,3,13,attacker-wins,Disarm,fail-and-fall-back,Legs
Beta,,0,41,31,0,10,41,7,0,35,42,0,0,Alpha,Equipment Damage,,,140,261,406,,,defender-wins,Equipment Damage,,
Alpha,,0,60,34,0,26,41,,0,64,41,0,23,Beta,Inflict Injury,,,141,406,261,,,repeat,Attack,,
Alpha,,0,73,35,1,38,41,,0,89,41,1,48,Beta,Grappled,,,142,406,261,,,repeat,Grapple,,
Alpha,,0,65,33,0,32,41,8,0,34,42,0,0,Beta,Prone,,,143,406,261,,,defender-wins,Trip,,
Alpha,,0,45,30,0,15,41,,0,91,42,1,49,Beta,Disarm,,,144,406,261,,,repeat,Disarm,,
Alpha,,0,51,33,0,18,41,,37,88,43,1,45,Beta,Equipment Damage,,,145,406,224,,,repeat,Equipment Damage,,
Beta,,7,57,26,1,31,41,,16,97,42,1,55,Alpha,Inflict Injury,,,146,217,390,,,repeat,Attack,,
Beta,0,0,33,33,0,0,41,7,0,36,43,0,0,Alpha,Grappled,,,147,217,390,,,defender-wins,Grapple,,
Beta,,0,58,36,0,22,41,,29,93,43,1,50,Alpha,Prone,,,148,217,361,,,repeat,Trip,,
Beta,,0,40,34,0,6,41,,47,97,44,1,53,Alpha,Disarm,,,149,217,314,,,repeat,Disarm,,
Beta,,0,69,31,1,38,41,,12,62,45,0,17,Alpha,Equipment Damage,,,150,217,302,,,repeat,Equipment Damage,,
Alpha,22,0,12,34,0,0,41,,37,87,44,0,43,Beta,Inflict Injury,,,151,302,158,22,,attacker-wins,Attack,,
Alpha,,0,61,36,0,25,41,,23,73,44,0,29,Beta,Grappled,,,152,302,135,,,repeat,Grapple,,
Alpha,,0,55,33,0,22,41,9,0,35,44,0,0,Beta,Prone,,,153,302,135,,,defender-wins,Trip,,
Alpha,,0,32,30,0,2,41,,28,93,44,1,49,Beta,Disarm,,,154,302,107,,,repeat,Disarm,,
Alpha,,0,78,33,1,45,41,15,0,30,45,0,0,Beta,Equipment Damage,,,155,302,107,,,defender-wins,Equipment Damage,,
Beta,,26,96,27,2,69,41,29,0,16,45,0,0,Alpha,Inflict Injury,,,156,81,302,,,defender-wins,Attack,,
Beta,6,0,27,33,0,0,41,14,0,31,45,0,0,Alpha,Grappled,,,157,81,302,,,defender-wins,Grapple,,
Beta,,21,94,36,1,58,41,,0,50,45,0,5,Alpha,Prone,,,158,60,302,,,repeat,Trip,,
Beta,21,0,13,34,0,0,41,,0,53,45,0,8,Alpha,Disarm,,2,159,60,281,21,31,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,,0,51,32,0,19,41,27,0,18,45,0,0,Alpha,Equipment Damage,,,160,60,281,,,defender-wins,Equipment Damage,,
Alpha,15,0,19,34,0,0,41,33,0,12,45,0,0,Beta,Inflict Injury,,,161,281,60,,,defender-wins,Attack,,
Alpha,5,0,31,36,0,0,41,,0,58,45,0,13,Beta,Grappled,1,2,162,281,60,,13,attacker-wins,Grapple,pass,Legs
Alpha,,0,73,33,1,40,41,,0,71,45,0,26,Beta,Prone,,,163,281,60,,,repeat,Trip,,
Alpha,7,0,23,30,0,0,41,24,0,21,45,0,0,Beta,Disarm,,,164,281,60,,,defender-wins,Disarm,,
Alpha,,0,96,34,1,62,41,,0,63,45,0,18,Beta,Equipment Damage,,,165,281,60,,,repeat,Equipment Damage,,
Beta,16,0,13,29,0,0,41,,0,54,45,0,9,Alpha,Inflict Injury,,,166,60,265,16,,attacker-wins,Attack,,
Beta,9,0,24,33,0,0,41,0,0,45,45,0,0,Alpha,Grappled,1,2,167,60,265,,42,attacker-wins,Grapple,pass,Torso
Beta,,0,64,37,0,27,41,,0,99,45,1,54,Alpha,Prone,,,168,60,265,,,repeat,Trip,,
Beta,13,0,21,34,0,0,41,13,0,33,46,0,0,Alpha,Disarm,,,169,60,265,,,repeat,Disarm,,
Beta,,0,96,32,1,64,41,23,0,23,46,0,0,Alpha,Equipment Damage,,,170,60,265,,,defender-wins,Equipment Damage,,
Alpha,,0,62,34,0,28,41,34,0,11,45,0,0,Beta,Inflict Injury,,,171,265,60,,,defender-wins,Attack,,
Alpha,28,0,8,36,0,0,41,16,0,29,45,0,0,Beta,Grappled,1,2,172,265,60,,80,attacker-wins,Grapple,pass,Head
Alpha,,0,42,34,0,8,41,,0,92,45,1,47,Beta,Prone,,,173,265,60,,,repeat,Trip,,
Alpha,,0,49,30,0,19,41,18,0,28,46,0,0,Beta,Disarm,,,174,265,60,,,defender-wins,Disarm,,
Alpha,1,0,34,35,0,0,41,13,0,33,46,0,0,Beta,Equipment Damage,,,175,265,60,,,defender-wins,Equipment Damage,,
Beta,,0,57,29,0,28,41,41,0,5,46,0,0,Alpha,Inflict Injury,,,176,60,265,,,defender-wins,Attack,,
Beta,7,0,26,33,0,0,41,,0,98,46,1,52,Alpha,Grappled,1,2,177,60,265,,62,attacker-wins,Grapple,pass,Arms
Beta,,0,85,37,1,48,41,,0,85,47,0,38,Alpha,Prone,,,178,60,265,,,repeat,Trip,,
Beta,8,0,26,34,0,0,41,,4,71,47,0,24,Alpha,Disarm,,2,179,60,253,8,62,attacker-wins,Disarm,fail-and-fall-back,Arms
Beta,4,0,29,33,0,0,41,,0,50,47,0,3,Alpha,Equipment Damage,,2,180,60,249,4,92,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Alpha,17,0,17,34,0,0,41,8,0,38,46,0,0,Beta,Inflict Injury,,,181,249,51,9,,attacker-wins,Attack,,
Alpha,13,0,23,36,0,0,41,,0,86,46,0,40,Beta,Grappled,1,2,182,249,51,,32,attacker-wins,Grapple,pass,Torso
Alpha,,0,44,34,0,10,41,,0,90,46,0,44,Beta,Prone,,,183,249,51,,,repeat,Trip,,
Alpha,,0,54,30,0,24,41,39,0,7,46,0,0,Beta,Disarm,,,184,249,51,,,defender-wins,Disarm,,
Alpha,9,0,26,35,0,0,41,5,0,41,46,0,0,Beta,Equipment Damage,,2,185,249,47,4,62,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Beta,20,0,9,29,0,0,41,,0,89,47,0,42,Alpha,Inflict Injury,,,186,47,229,20,,attacker-wins,Attack,,
Beta,28,0,5,33,0,0,41,,0,66,47,0,19,Alpha,Grappled,1,2,187,47,229,,50,attacker-wins,Grapple,pass,Torso
Beta,,0,88,38,1,50,41,27,0,20,47,0,0,Alpha,Prone,,,188,47,229,,,defender-wins,Trip,,
Beta,,0,45,34,0,11,41,26,0,21,47,0,0,Alpha,Disarm,,,189,47,229,,,defender-wins,Disarm,,
Beta,,0,50,33,0,17,41,,0,62,47,0,15,Alpha,Equipment Damage,,,190,47,229,,,repeat,Equipment Damage,,
Alpha,,0,36,34,0,2,41,,0,97,46,1,51,Beta,Inflict Injury,,,191,229,47,,,repeat,Attack,,
Alpha,,0,70,36,0,34,41,,8,78,47,0,31,Beta,Grappled,,,192,229,39,,,repeat,Grapple,,
Alpha,,0,63,34,0,29,41,18,0,29,47,0,0,Beta,Prone,,,193,229,39,,,defender-wins,Trip,,
Alpha,,0,64,30,1,34,41,,5,76,47,0,29,Beta,Disarm,,,194,229,34,,,repeat,Disarm,,
Alpha,,1,96,35,1,61,41,46,0,1,47,0,0,Beta,Equipment Damage,,,195,228,34,,,defender-wins,Equipment Damage,,
Beta,,0,44,29,0,15,41,,46,96,47,1,49,Alpha,Inflict Injury,,,196,34,182,,,repeat,Attack,,
Beta,0,0,33,33,0,0,41,4,0,44,48,0,0,Alpha,Grappled,,,197,34,182,,,defender-wins,Grapple,,
Beta,4,0,35,39,0,0,41,,13,69,48,0,21,Alpha,Prone,1,2,198,34,169,,53,attacker-wins,Trip,pass,Arms
Beta,20,0,14,34,0,0,41,,1,51,48,0,3,Alpha,Disarm,,2,199,34,148,20,41,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,,0,62,33,0,29,41,2,0,46,48,0,0,Alpha,Equipment Damage,,,200,34,148,,,defender-wins,Equipment Damage,,
Alpha,12,0,22,34,0,0,41,11,0,36,47,0,0,Beta,Inflict Injury,,,201,148,33,1,,attacker-wins,Attack,,
Alpha,,0,71,36,0,35,41,,0,56,47,0,9,Beta,Grappled,,,202,148,33,,,repeat,Grapple,,
Alpha,,8,69,34,1,35,41,,0,55,47,0,8,Beta,Prone,,,203,140,33,,,repeat,Trip,,
Alpha,6,0,25,31,0,0,41,,0,56,47,0,9,Beta,Disarm,,2,204,140,27,6,52,attacker-wins,Disarm,fail-and-fall-back,Arms
Alpha,15,0,21,36,0,0,41,,0,53,47,0,6,Beta,Equipment Damage,,2,205,140,12,15,12,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Beta,3,0,26,29,0,0,41,,0,68,48,0,20,Alpha,Inflict Injury,,,206,12,137,3,,attacker-wins,Attack,,
Beta,,0,98,33,1,65,41,20,0,28,48,0,0,Alpha,Grappled,,,207,12,137,,,defender-wins,Grapple,,
Beta,8,0,31,39,0,0,41,34,0,14,48,0,0,Alpha,Prone,,,208,12,137,,,defender-wins,Trip,,
Beta,,0,46,34,0,12,41,,0,53,48,0,5,Alpha,Disarm,,,209,12,137,,,repeat,Disarm,,
Beta,,0,54,33,0,21,41,,0,72,48,0,24,Alpha,Equipment Damage,,,210,12,137,,,repeat,Equipment Damage,,
Alpha,,0,54,34,0,20,41,21,0,26,47,0,0,Beta,Inflict Injury,,,211,137,12,,,defender-wins,Attack,,
Alpha,15,0,21,36,0,0,41,10,0,37,47,0,0,Beta,Grappled,1,2,212,137,12,,12,attacker-wins,Grapple,pass,Legs
Alpha,,0,83,35,1,48,41,20,0,27,47,0,0,Beta,Prone,,,213,137,12,,,defender-wins,Trip,,
Alpha,17,0,14,31,0,0,41,45,0,2,47,0,0,Beta,Disarm,,,214,137,12,,,defender-wins,Disarm,,
Alpha,,0,43,36,0,7,41,36,0,11,47,0,0,Beta,Equipment Damage,,,215,137,12,,,defender-wins,Equipment Damage,,
Beta,,0,80,29,1,51,41,46,0,2,48,0,0,Alpha,Inflict Injury,,,216,12,137,,,defender-wins,Attack,,
Beta,5,0,29,34,0,0,41,22,0,26,48,0,0,Alpha,Grappled,,,217,12,137,,,defender-wins,Grapple,,
Beta,,0,68,39,0,29,41,4,0,44,48,0,0,Alpha,Prone,,,218,12,137,,,defender-wins,Trip,,
Beta,,0,53,34,0,19,41,,0,49,48,0,1,Alpha,Disarm,,,219,12,137,,,repeat,Disarm,,
Beta,,0,99,33,1,66,41,,0,80,48,0,32,Alpha,Equipment Damage,,,220,12,137,,,repeat,Equipment Damage,,
Alpha,23,0,11,34,0,0,41,,0,58,47,0,11,Beta,Inflict Injury,,,221,137,-11,23,,attacker-wins,Attack,,
Beta,,0,55,25,1,30,42,8,0,17,25,0,0,Alpha,Inflict Injury,,,1,600,600,,,defender-wins,Attack,,
Beta,9,0,16,25,0,0,42,,0,81,25,2,56,Alpha,Grappled,1,2,2,600,600,,61,attacker-wins,Grapple,pass,Arms
Beta,,0,36,25,0,11,42,,0,54,27,1,27,Alpha,Prone,,,3,600,600,,,repeat,Trip,,
Beta,,0,94,25,2,69,42,,0,82,28,1,54,Alpha,Disarm,,,4,600,600,,,repeat,Disarm,,
Beta,,0,46,25,0,21,42,20,0,9,29,0,0,Alpha,Equipment Damage,,,5,600,600,,,defender-wins,Equipment Damage,,
Alpha,,0,44,25,0,19,42,,0,80,25,2,55,Beta,Inflict Injury,,,6,600,600,,,repeat,Attack,,
Alpha,,0,79,25,2,54,42,,16,96,27,2,69,Beta,Grappled,,,7,600,584,,,repeat,Grapple,,
Alpha,,0,91,25,2,66,42,,31,81,29,1,52,Beta,Prone,,,8,600,553,,,repeat,Trip,,
Alpha,8,0,17,25,0,0,42,,0,38,30,0,8,Beta,Disarm,1,2,9,600,553,,71,attacker-wins,Disarm,pass,Arms
Alpha,,0,46,25,0,21,42,,0,49,30,0,19,Beta,Equipment Damage,,,10,600,553,,,repeat,Equipment Damage,,
Beta,,8,71,26,1,45,42,,0,84,29,1,55,Alpha,Inflict Injury,,,11,545,600,,,repeat,Attack,,
Beta,,6,56,25,1,31,42,,36,99,30,2,69,Alpha,Grappled,,,12,539,564,,,repeat,Grapple,,
Beta,0,0,25,25,0,0,42,18,0,14,32,0,0,Alpha,Prone,,,13,539,564,,,defender-wins,Trip,,
Beta,,1,76,27,1,49,42,17,0,15,32,0,0,Alpha,Disarm,,,14,538,564,,,defender-wins,Disarm,,
Beta,,49,99,25,2,74,42,8,0,24,32,0,0,Alpha,Equipment Damage,,,15,489,564,,,defender-wins,Equipment Damage,,
Alpha,,0,83,25,2,58,42,,31,81,30,1,51,Beta,Inflict Injury,,,16,564,458,,,repeat,Attack,,
Alpha,,0,38,27,0,11,42,,36,86,31,1,55,Beta,Grappled,,,17,564,422,,,repeat,Grapple,,
Alpha,,0,64,27,1,37,42,23,0,9,32,0,0,Beta,Prone,,,18,564,422,,,defender-wins,Trip,,
Alpha,,0,76,25,2,51,42,,0,47,32,0,15,Beta,Disarm,,,19,564,422,,,repeat,Disarm,,
Alpha,,0,71,25,1,46,42,,0,47,32,0,15,Beta,Equipment Damage,,,20,564,422,,,repeat,Equipment Damage,,
